FlightNum,UniqueCarrier (Airline),Origin,Dest,Distance
445,WN,SLC,GEG,546
446,WN,SLC,LAS,368
447,WN,SLC,LAX,590
448,WN,SLC,MDW,1258
449,WN,SLC,OAK,588
450,WN,SLC,PDX,630
451,WN,SLC,PHX,507
452,WN,SLC,RNO,422
453,WN,SLC,SEA,689
454,WN,SLC,STL,1156
455,WN,SMF,BUR,358
456,WN,SMF,LAS,397
457,WN,SMF,LAX,373
458,WN,SMF,MCI,1442
459,WN,SMF,MDW,1790
460,WN,SMF,ONT,389
461,WN,SMF,PDX,479
462,WN,SMF,PHX,647
463,WN,SMF,SAN,480
464,WN,SMF,SEA,605
465,WN,SMF,SNA,404
466,WN,SNA,LAS,226
467,WN,SNA,OAK,371
468,WN,SNA,PHX,338
469,WN,SNA,SJC,342
470,WN,SNA,SMF,404
471,WN,STL,ABQ,934
472,WN,STL,BHM,410
473,WN,STL,BWI,737
474,WN,STL,CLE,487
475,WN,STL,CMH,410
476,WN,STL,DAL,546
477,WN,STL,DTW,440
478,WN,STL,FLL,1056
479,WN,STL,HOU,687
480,WN,STL,LAS,1372
481,WN,STL,LAX,1593
482,WN,STL,LIT,296
483,WN,STL,MCI,237
484,WN,STL,MCO,880
485,WN,STL,MDW,251
486,WN,STL,OMA,342
487,WN,STL,PHX,1262
488,WN,STL,SDF,254
489,WN,STL,SLC,1156
490,WN,STL,TPA,869
491,WN,STL,TUL,351
492,WN,TPA,ABQ,1497
493,WN,TPA,ALB,1130
494,WN,TPA,BDL,1111
495,WN,TPA,BHM,460
496,WN,TPA,BNA,612
497,WN,TPA,BUF,1054
498,WN,TPA,BWI,842
499,WN,TPA,CMH,829
500,WN,TPA,DEN,1506
501,WN,TPA,FLL,197
502,WN,TPA,HOU,781
503,WN,TPA,IAD,810
504,WN,TPA,ISP,1034
505,WN,TPA,JAX,180
506,WN,TPA,LAS,1984
507,WN,TPA,MCI,1048
508,WN,TPA,MDW,997
509,WN,TPA,MHT,1204
510,WN,TPA,MSY,487
511,WN,TPA,PBI,174
512,WN,TPA,PHL,920
513,WN,TPA,PHX,1788
514,WN,TPA,PIT,873
515,WN,TPA,PVD,1137
516,WN,TPA,RDU,587
517,WN,TPA,SAT,972
518,WN,TPA,SDF,727
519,WN,TPA,STL,869
520,WN,TUL,DAL,237
521,WN,TUL,HOU,453
522,WN,TUL,MCI,223
523,WN,TUL,PHX,935
524,WN,TUS,ABQ,321
525,WN,TUS,LAS,365
526,WN,TUS,LAX,451
527,WN,TUS,MDW,1440
528,WN,TUS,SAN,367
529,WN,ABQ,AMA,277
530,WN,ABQ,DAL,580
531,WN,ABQ,DEN,349
532,WN,ABQ,HOU,759
533,WN,ABQ,LAS,487
534,WN,ABQ,LAX,677
535,WN,ABQ,LBB,289
536,WN,ABQ,MAF,332
537,WN,ABQ,MCI,718
538,WN,ABQ,MCO,1552
539,WN,ABQ,MDW,1121
540,WN,ABQ,OAK,889
541,WN,ABQ,PHX,328
542,WN,ABQ,SAN,628
543,WN,ABQ,SEA,1180
544,WN,ABQ,STL,934
545,WN,ABQ,TUS,321
546,WN,ALB,BWI,288
547,WN,ALB,MCO,1073
548,WN,ALB,MDW,717
549,WN,AMA,DAL,324
550,WN,AMA,DEN,358
551,WN,AUS,BNA,756
552,WN,AUS,DAL,189
553,WN,AUS,DEN,775
554,WN,AUS,ELP,528
555,WN,AUS,HOU,148
556,WN,AUS,LAS,1090
557,WN,AUS,LBB,341
558,WN,AUS,MDW,972
559,WN,AUS,SAN,1164
560,WN,AUS,TPA,928
561,WN,BDL,BNA,852
562,WN,BDL,BWI,283
563,WN,BDL,LAS,2298
564,WN,BDL,MCO,1050
565,WN,BDL,TPA,1111
566,WN,BHM,BWI,682
567,WN,BHM,DAL,587
568,WN,BHM,LAS,1618
569,WN,BHM,MCO,478
570,WN,BHM,TPA,460
571,WN,BNA,AUS,756
572,WN,BNA,BDL,852
573,WN,BNA,BHM,177
574,WN,BNA,BWI,588
575,WN,BNA,CMH,338
576,WN,BNA,DEN,1013
577,WN,BNA,DTW,457
578,WN,BNA,FLL,793
579,WN,BNA,HOU,670
580,WN,BNA,JAX,484
581,WN,BNA,LAS,1588
582,WN,BNA,LAX,1797
583,WN,BNA,MCO,616
584,WN,BNA,MDW,395
585,WN,BNA,MSY,471
586,WN,BNA,ONT,1751
587,WN,BNA,PHX,1448
588,WN,BNA,RDU,443
589,WN,BNA,SAT,822
590,WN,BNA,SEA,1977
591,WN,BNA,TPA,612
592,WN,BOI,GEG,287
593,WN,BOI,LAS,520
594,WN,BOI,OAK,511
595,WN,BOI,PDX,344
596,WN,BOI,SLC,291
597,WN,BUF,BWI,281
598,WN,BUF,LAS,1987
599,WN,BUF,MCO,1011
600,WN,BUF,MDW,468
601,WN,BUF,PHX,1912
602,WN,BUF,TPA,1054
603,WN,BUR,LAS,223
604,WN,BUR,OAK,325
605,WN,BUR,PHX,369
606,WN,BUR,SJC,296
607,WN,BUR,SMF,358
608,WN,BWI,ALB,288
609,WN,BWI,BDL,283
610,WN,BWI,BHM,682
611,WN,BWI,BNA,588
612,WN,BWI,BUF,281
613,WN,BWI,DEN,1491
614,WN,BWI,DTW,408
615,WN,BWI,FLL,925
616,WN,BWI,HOU,1246
617,WN,BWI,IND,515
618,WN,BWI,ISP,220
619,WN,BWI,JAN,888
620,WN,BWI,JAX,663
621,WN,BWI,LAS,2106
622,WN,BWI,MCI,967
623,WN,BWI,MCO,787
624,WN,BWI,MDW,611
625,WN,BWI,MHT,377
626,WN,BWI,MSY,998
627,WN,BWI,OKC,1180
628,WN,BWI,ORF,159
629,WN,BWI,PBI,883
630,WN,BWI,PHX,1999
631,WN,BWI,PIT,210
632,WN,BWI,PVD,328
633,WN,BWI,RDU,255
634,WN,BWI,RSW,919
635,WN,BWI,SAN,2295
636,WN,BWI,SAT,1407
637,WN,BWI,SLC,1864
638,WN,BWI,STL,737
639,WN,BWI,TPA,842
640,WN,CLE,BNA,448
641,WN,CLE,MCO,895
642,WN,CLE,MDW,307
643,WN,CLE,STL,487
644,WN,CMH,BWI,336
645,WN,CMH,LAS,1772
646,WN,CMH,MCO,802
647,WN,CMH,MDW,284
648,WN,CRP,HOU,187
649,WN,DAL,ABQ,580
650,WN,DAL,AMA,324
651,WN,DAL,AUS,189
652,WN,DAL,BHM,587
653,WN,DAL,ELP,562
654,WN,DAL,HOU,239
655,WN,DAL,LBB,293
656,WN,DAL,LIT,296
657,WN,DAL,MAF,319
658,WN,DAL,MCI,461
659,WN,DAL,MSY,437
660,WN,DAL,OKC,181
661,WN,DAL,SAT,248
662,WN,DAL,STL,546
663,WN,DAL,TUL,237
664,WN,DEN,ABQ,349
665,WN,DEN,AUS,775
666,WN,DEN,BNA,1013
667,WN,DEN,BWI,1491
668,WN,DEN,HOU,883
669,WN,DEN,LAS,629
670,WN,DEN,MCI,533
671,WN,DEN,MCO,1545
672,WN,DEN,MDW,895
673,WN,DEN,OAK,957
674,WN,DEN,OKC,495
675,WN,DEN,PHX,602
676,WN,DEN,SEA,1024
677,WN,DEN,SLC,391
678,WN,DEN,TPA,1506
679,WN,DTW,BNA,457
680,WN,DTW,BWI,408
681,WN,DTW,MDW,229
682,WN,DTW,STL,440
683,WN,ELP,ABQ,223
684,WN,ELP,AUS,528
685,WN,ELP,DAL,562
686,WN,ELP,HOU,677
687,WN,ELP,LAS,584
688,WN,ELP,LAX,714
689,WN,ELP,LBB,295
690,WN,ELP,PHX,347
691,WN,ELP,SAT,496
692,WN,FLL,BNA,793
693,WN,FLL,HOU,957
694,WN,FLL,JAX,318
695,WN,FLL,MCO,178
696,WN,FLL,MDW,1166
697,WN,FLL,PHL,992
698,WN,FLL,PVD,1188
699,WN,FLL,STL,1056
700,WN,FLL,TPA,197
701,WN,GEG,BOI,287
702,WN,GEG,LAS,806
703,WN,GEG,OAK,723
704,WN,GEG,PDX,279
705,WN,GEG,SEA,224
706,WN,GEG,SLC,546
707,WN,HOU,AUS,148
708,WN,HOU,BNA,670
709,WN,HOU,DAL,239
710,WN,HOU,DEN,883
711,WN,HOU,ELP,677
712,WN,HOU,FLL,957
713,WN,HOU,HRL,276
714,WN,HOU,JAN,359
715,WN,HOU,JAX,816
716,WN,HOU,LAX,1390
717,WN,HOU,LIT,393
718,WN,HOU,MCO,848
719,WN,HOU,MDW,937
720,WN,HOU,MSY,303
721,WN,HOU,OKC,419
722,WN,HOU,PHL,1335
723,WN,HOU,PHX,1020
724,WN,HOU,SAN,1312
725,WN,HOU,SAT,192
726,WN,HOU,STL,687
727,WN,HOU,TPA,781
728,WN,HRL,HOU,276
729,WN,IAD,MDW,577
730,WN,IND,MCI,451
731,WN,ISP,LAS,2283
732,WN,JAX,ORF,543
733,WN,LAS,BHM,1618
734,WN,LBB,ABQ,289
735,WN,PDX,MCI,1481
736,WN,PHL,RSW,992
737,WN,PHX,MSY,1301
738,WN,PHX,PVD,2277
739,WN,RDU,LAS,2027
740,WN,SAN,SAT,1129
741,WN,ABQ,ELP,223
742,WN,ABQ,PDX,1111
743,WN,ABQ,SLC,493
744,WN,ABQ,TPA,1497
745,WN,ALB,LAS,2237
746,WN,AUS,BWI,1342
747,WN,AUS,LAX,1242
748,WN,AUS,PHX,872
749,WN,BDL,MDW,777
750,WN,BHM,HOU,570
751,WN,BHM,MDW,570
752,WN,BHM,PHX,1455
753,WN,BNA,CLE,448
754,WN,BNA,MCI,491
755,WN,BNA,OAK,1959
756,WN,BNA,SAN,1751
757,WN,BOI,RNO,335
758,WN,BOI,SEA,399
759,WN,BWI,ABQ,1670
760,WN,BWI,AUS,1342
761,WN,BWI,CMH,336
762,WN,BWI,LIT,912
763,WN,BWI,SDF,495
764,WN,CLE,BWI,314
765,WN,CMH,PHL,405
766,WN,CMH,STL,410
767,WN,DEN,AMA,358
768,WN,DTW,MCO,957
769,WN,DTW,PHX,1671
770,WN,FLL,BWI,925
771,WN,FLL,ISP,1093
772,WN,HOU,ABQ,759
773,WN,HOU,BWI,1246
774,WN,HOU,CRP,187
775,WN,HOU,LAS,1235
776,WN,IAD,MCO,758
777,WN,JAX,BWI,663
778,WN,LIT,PHX,1136
779,WN,PHX,MCO,1848
780,WN,PHX,RDU,1891
781,WN,TPA,AUS,928
782,WN,BHM,SDF,323
783,WN,BNA,PHL,675
784,WN,BNA,PVD,907
785,WN,BWI,CLE,314
786,WN,CMH,BNA,338
787,WN,CMH,TPA,829
788,WN,HOU,BHM,570
789,WN,HOU,MAF,441
790,WN,HOU,OAK,1642
791,WN,HOU,TUL,453
792,WN,PHX,SDF,1506
793,WN,STL,OKC,462
794,WN,TUS,OAK,747
795,WN,ABQ,BWI,1670
796,WN,AMA,LAS,758
797,WN,FLL,MSY,673
798,WN,BHM,JAX,365
799,WN,CLE,LAS,1825
800,WN,CMH,PHX,1671
801,WN,HRL,SAT,233
802,WN,TPA,IND,838
803,WN,BHM,BNA,177
804,WN,BHM,MSY,321
805,WN,MSY,BNA,471
806,WN,TUL,STL,351
807,WN,RSW,PHL,992
808,WN,AUS,MAF,294
809,WN,TPA,ORF,717
810,WN,AUS,MCO,993
811,WN,BHM,STL,410
812,WN,IAD,LAS,2066
813,WN,LBB,LAS,775
814,WN,AUS,HRL,273
815,WN,HRL,AUS,273
816,WN,ELP,SAN,636
817,WN,SAT,SAN,1129
818,WN,TUL,LAS,1076
819,WN,LBB,ELP,295
820,WN,ALB,TPA,1130
821,WN,AMA,ABQ,277
822,XE,ROC,EWR,246
823,XE,ABQ,IAH,744
824,XE,ORD,EWR,719
825,XE,MCI,IAH,643
826,XE,EWR,OMA,1133
827,XE,SYR,CLE,317
828,XE,CLE,SDF,304
829,XE,TUL,EWR,1215
830,XE,CLE,ROC,245
831,XE,EWR,MYR,550
832,XE,IND,EWR,644
833,XE,EWR,RDU,416
834,XE,EWR,GSO,446
835,XE,IAH,SAV,851
836,XE,CRW,IAH,975
837,XE,IAH,RIC,1157
838,XE,AUS,ONT,1197
839,XE,ONT,MCI,1318
840,XE,FAT,ONT,222
841,XE,ONT,ELP,670
842,XE,COS,ONT,789
843,XE,ONT,COS,789
844,XE,ELP,ONT,670
845,XE,ONT,FAT,222
846,XE,ONT,ABQ,631
847,XE,ONT,BOI,660
848,XE,MCI,ONT,1318
849,XE,BOI,ONT,660
850,XE,GEG,ONT,936
851,XE,ELP,TUS,269
852,XE,TUS,ONT,409
853,XE,ONT,TUS,409
854,XE,TUS,ELP,269
855,XE,MRY,ONT,296
856,XE,ONT,MRY,296
857,XE,FAT,LGB,222
858,XE,LGB,MRY,283
859,XE,ABQ,ONT,631
860,XE,MRY,LGB,283
861,XE,ONT,SAT,1167
862,XE,LGB,FAT,222
863,XE,SAT,ONT,1167
864,XE,SAT,TUL,483
865,XE,TUL,SAT,483
866,XE,AUS,OKC,358
867,XE,OKC,SMF,1342
868,XE,ONT,AUS,1197
869,XE,LGB,GEG,953
870,XE,LGB,RNO,402
871,XE,RNO,GEG,572
872,XE,GEG,LGB,953
873,XE,GEG,RNO,572
874,XE,RNO,LGB,402
875,XE,BFL,SMF,265
876,XE,SMF,GEG,649
877,XE,GEG,SMF,649
878,XE,SMF,BFL,265
879,XE,SMF,TUS,752
880,XE,TUS,AUS,797
881,XE,TUL,ABQ,608
882,XE,SMF,COS,911
883,XE,COS,SMF,911
884,XE,OKC,SAT,407
885,XE,SAT,SMF,1463
886,XE,SMF,SAT,1463
887,XE,ONT,TUL,1236
888,XE,ABQ,SMF,866
889,XE,ABQ,OKC,510
890,XE,SMF,ABQ,866
891,XE,TUL,SMF,1419
